DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,SYMBOL
8/16/2024,93.36,95.65,93.3,94.81,16336331,SBUX
8/15/2024,94.12,94.96,92.98,94.88,21109805,SBUX
8/14/2024,95.39,95.86,91.43,93.9,45737849,SBUX
8/13/2024,91.02,96.01,90.29,95.9,157215463,SBUX
8/12/2024,76.53,78.43,76.29,77.03,13123036,SBUX
8/9/2024,75.65,75.86,74.75,75.09,4683590,SBUX
8/8/2024,75.07,76.15,74.8,75.75,8988259,SBUX
8/7/2024,75.3,76.83,75.16,75.29,7297044,SBUX
8/6/2024,73.92,75.99,73.84,75.37,10525494,SBUX
8/5/2024,73.85,75,72.73,73.86,12372872,SBUX
8/2/2024,75.11,76.67,74.92,75.88,15185688,SBUX
8/1/2024,77.89,78.14,73.83,75.11,17307174,SBUX
7/31/2024,79.55,81.24,77.8,77.95,18901085,SBUX
7/30/2024,75.25,76.05,74.85,75.94,16163627,SBUX
7/29/2024,74.39,75.59,73.72,75.2,10864716,SBUX
7/26/2024,73.84,75.02,73.71,74.05,12387111,SBUX
7/25/2024,75.06,75.77,73.26,73.32,18973613,SBUX
7/24/2024,76.37,76.49,74.02,74.68,10478214,SBUX
7/23/2024,77.14,77.14,76.03,76.26,9592106,SBUX
7/22/2024,78.33,78.47,76.01,76.55,18851541,SBUX
7/19/2024,74.66,79.38,74.19,79.27,32965919,SBUX
7/18/2024,74.46,75.11,73.81,74.19,10700989,SBUX
7/17/2024,75.22,76.13,74.55,75.1,11567825,SBUX
7/16/2024,72.21,75.51,71.55,75.51,14968743,SBUX
7/15/2024,74.89,74.9,72.52,72.75,9064379,SBUX
10/11/2024,54.82,55.66,54.82,55.44,836435,NYT
10/10/2024,55.3,55.86,54.96,55.1,522949,NYT
10/9/2024,55.48,55.91,55.1,55.29,675008,NYT
10/8/2024,54.53,54.93,53.88,54.91,591358,NYT
10/7/2024,55.07,55.07,54.49,54.52,650932,NYT
10/4/2024,55.08,55.26,54.28,55.16,627198,NYT
10/3/2024,55.27,55.52,54.42,54.73,656015,NYT
10/2/2024,54.87,55.59,54.87,55.51,856944,NYT
10/1/2024,55.64,55.85,54.56,55.21,702827,NYT
9/30/2024,55.52,55.9,55.17,55.67,778478,NYT
9/27/2024,55.46,56.36,55.3,55.32,838404,NYT
9/26/2024,55.21,55.22,54.6,55.16,1010077,NYT
9/25/2024,55.33,55.64,54.72,55,766012,NYT
9/24/2024,55.19,55.41,54.89,55.08,714669,NYT
9/23/2024,54.74,55.11,54.52,55.09,594718,NYT
9/20/2024,54.58,55.03,54.07,54.49,2026301,NYT
9/19/2024,55.61,55.77,54.54,54.56,638823,NYT
9/18/2024,55.56,55.81,54.98,55.06,838024,NYT
9/17/2024,54.51,56.03,54.51,55.47,898193,NYT
9/16/2024,53.67,54.45,53.56,54.37,871078,NYT
9/13/2024,53,53.75,52.85,53.54,710599,NYT
9/12/2024,52.38,52.82,52.3,52.75,794525,NYT
9/11/2024,52.68,52.78,52.23,52.38,1089111,NYT
9/10/2024,52.71,52.95,52.51,52.69,634476,NYT
9/9/2024,53.15,53.24,52.63,52.71,780315,NYT
9/6/2024,54.29,54.9,52.81,52.99,935872,NYT
9/5/2024,53.85,54.48,53.7,54.1,535116,NYT
10/11/2024,94.14,95.96,94.01,95.55,4834808,SBUX
10/10/2024,95.42,95.48,93.76,93.88,5459453,SBUX
10/9/2024,96.48,96.48,95.46,95.88,3344801,SBUX
10/8/2024,96.05,96.88,95.28,96.21,6595191,SBUX
10/7/2024,96.19,96.52,95.36,96.09,7478912,SBUX
10/4/2024,96.17,96.73,95.15,96.58,6819465,SBUX
10/3/2024,95.64,96.39,95.31,95.56,5556383,SBUX
10/2/2024,96.83,97,95.87,96.5,6345996,SBUX
10/1/2024,97.49,98.14,96.35,97.43,7171570,SBUX
9/30/2024,97.39,97.69,96.41,97.49,6439104,SBUX
9/27/2024,97.65,98.15,97.19,97.36,6320017,SBUX
9/26/2024,98.5,99.15,97,97.47,9876771,SBUX
9/25/2024,94.26,95.96,94.22,95.62,8632888,SBUX
9/24/2024,95.47,95.82,94.19,94.45,8606798,SBUX
9/23/2024,96.05,96.05,94.35,95.48,8382840,SBUX
9/20/2024,96.85,97.06,95.32,96.05,19541043,SBUX
9/19/2024,97.97,98.7,96.33,96.9,8752645,SBUX
9/18/2024,95.55,97.6,95.33,96.12,8793825,SBUX
9/17/2024,96.49,96.54,95.2,96.44,6281724,SBUX
